"Titre de tracé : 20177023"
"#","Date Heure, GMT-04:00","Temp., °C (LGR S/N: 20177023, SEN S/N: 20177023)","Coupleur détaché (LGR S/N: 20177023)","Pile défectueuse (LGR S/N: 20177023)","Coupleur attaché (LGR S/N: 20177023)","Hôte connecté (LGR S/N: 20177023)","Fin de fichier (LGR S/N: 20177023)"
474,08/02/18 02:57:23 PM,5.450,,,,,
475,08/02/18 03:57:23 PM,5.757,,,,,
476,08/02/18 04:57:23 PM,5.757,,,,,
477,08/02/18 05:57:23 PM,5.347,,,,,
478,08/02/18 06:57:23 PM,5.141,,,,,
479,08/02/18 07:57:23 PM,4.831,,,,,
480,08/02/18 08:57:23 PM,4.623,,,,,
481,08/02/18 09:57:23 PM,4.311,,,,,
482,08/02/18 10:57:23 PM,4.102,,,,,
483,08/02/18 11:57:23 PM,3.893,,,,,
484,08/03/18 12:57:23 AM,3.578,,,,,
485,08/03/18 01:57:23 AM,3.367,,,,,
486,08/03/18 02:57:23 AM,3.261,,,,,
487,08/03/18 03:57:23 AM,3.049,,,,,
488,08/03/18 04:57:23 AM,3.049,,,,,
489,08/03/18 05:57:23 AM,2.943,,,,,
490,08/03/18 06:57:23 AM,2.943,,,,,
491,08/03/18 07:57:23 AM,2.943,,,,,
492,08/03/18 08:57:23 AM,2.943,,,,,
493,08/03/18 09:57:23 AM,3.049,,,,,
494,08/03/18 10:57:23 AM,3.367,,,,,
495,08/03/18 11:57:23 AM,3.683,,,,,
496,08/03/18 12:57:23 PM,4.102,,,,,
497,08/03/18 01:57:23 PM,4.519,,,,,
498,08/03/18 02:57:23 PM,4.934,,,,,
499,08/03/18 03:57:23 PM,5.552,,,,,
500,08/03/18 04:57:23 PM,5.552,,,,,
501,08/03/18 05:57:23 PM,5.244,,,,,
502,08/03/18 06:57:23 PM,5.037,,,,,
503,08/03/18 07:57:23 PM,4.831,,,,,
504,08/03/18 08:57:23 PM,4.519,,,,,
505,08/03/18 09:57:23 PM,4.311,,,,,
